symbol,1D,5D,1M,3M,6M,ytd,1Y,3Y,5Y,10Y,max
AAPL,-3.5,-9.0,-14.0,-8.0,-5.0,-12.0,-8.0,-20.0,10.0,50.0,1000.0
ABNB,-2.77,-7.63,-11.89,-5.13,-1.59,-7.17,-2.73,-10.87,24.71,81.43,1217.19
ADBE,-2.04,-6.26,-9.78,-2.26,1.82,-2.34,2.54,-1.74,39.42,112.86,1434.38
ADI,-1.31,-4.89,-7.67,0.61,5.23,2.49,7.81,7.39,54.13,144.29,1651.57
AMAT,-0.58,-3.52,-5.56,3.48,8.64,7.32,13.08,16.52,68.84,175.72,1868.76
AMD,0.15,-2.15,-3.45,6.35,12.05,12.15,18.35,25.65,83.55,207.15,2085.95
AMGN,0.88,-0.78,-1.34,9.22,15.46,16.98,23.62,34.78,98.26,238.58,2303.14
ANSS,1.61,0.59,0.77,12.09,18.87,21.81,28.89,43.91,112.97,270.01,2520.33
APP,2.34,1.96,2.88,14.96,22.28,26.64,34.16,53.04,127.68,301.44,2737.52
ARM,3.07,3.33,4.99,17.83,25.69,31.47,39.43,62.17,142.39,332.87,2954.71
ASML,-3.2,4.7,7.1,20.7,29.1,36.3,44.7,71.3,157.1,364.3,3171.9
AVGO,-2.47,6.07,9.21,23.57,32.51,41.13,49.97,80.43,171.81,395.73,3389.09
AXON,-1.74,7.44,11.32,26.44,35.92,45.96,55.24,89.56,186.52,427.16,3606.28
BKNG,-1.01,8.81,13.43,29.31,39.33,50.79,60.51,98.69,201.23,458.59,3823.47
CDNS,-0.28,-7.82,15.54,32.18,42.74,55.62,65.78,107.82,215.94,490.02,4040.66
CDW,0.45,-6.45,17.65,-6.95,46.15,60.45,71.05,116.95,230.65,521.45,4257.85
CEG,1.18,-5.08,-12.24,-4.08,49.56,65.28,76.32,126.08,245.36,552.88,4475.04
CHTR,1.91,-3.71,-10.13,-1.21,52.97,70.11,81.59,135.21,260.07,584.31,4692.23
CMCSA,2.64,-2.34,-8.02,1.66,-1.62,74.94,86.86,144.34,274.78,615.74,4909.42
COST,3.37,-0.97,-5.91,4.53,1.79,79.77,-2.87,153.47,289.49,647.17,5126.61
CPRT,-2.9,0.4,-3.8,7.4,5.2,84.6,2.4,-17.4,304.2,678.6,5343.8
CRWD,-2.17,1.77,-1.69,10.27,8.61,89.43,7.67,-8.27,318.91,710.03,5560.99
CSCO,-1.44,3.14,0.42,13.14,12.02,-10.74,12.94,0.86,13.62,741.46,5778.18
CSGP,-0.71,4.51,2.53,16.01,15.43,-5.91,18.21,9.99,28.33,772.89,5995.37
CTAS,0.02,5.88,4.64,18.88,18.84,-1.08,23.48,19.12,43.04,804.32,6212.56
CTSH,0.75,7.25,6.75,21.75,22.25,3.75,28.75,28.25,57.75,835.75,6429.75
DASH,1.48,8.62,8.86,24.62,25.66,8.58,34.02,37.38,72.46,867.18,6646.94
DDOG,2.21,-8.01,10.97,27.49,29.07,13.41,39.29,46.51,87.17,898.61,6864.13
DXCM,2.94,-6.64,13.08,30.36,32.48,18.24,44.56,55.64,101.88,930.04,7081.32
EA,-3.33,-5.27,15.19,33.23,35.89,23.07,49.83,64.77,116.59,61.47,7298.51
EXC,-2.6,-3.9,17.3,-5.9,39.3,27.9,55.1,73.9,131.3,92.9,7515.7
FANG,-1.87,-2.53,-12.59,-3.03,42.71,32.73,60.37,83.03,146.01,124.33,7732.89
FAST,-1.14,-1.16,-10.48,-0.16,46.12,37.56,65.64,92.16,160.72,155.76,7950.08
FTNT,-0.41,0.21,-8.37,2.71,49.53,42.39,70.91,101.29,175.43,187.19,8167.27
GILD,0.32,1.58,-6.26,5.58,52.94,47.22,76.18,110.42,190.14,218.62,8384.46
GOOG,1.05,2.95,-4.15,8.45,-1.65,52.05,81.45,119.55,204.85,250.05,8601.65
GOOGL,1.78,4.32,-2.04,11.32,1.76,56.88,86.72,128.68,219.56,281.48,8818.84
HON,2.51,5.69,0.07,14.19,5.17,61.71,-3.01,137.81,234.27,312.91,9036.03
IDXX,3.24,7.06,2.18,17.06,8.58,66.54,2.26,146.94,248.98,344.34,9253.22
ILMN,-3.03,8.43,4.29,19.93,11.99,71.37,7.53,156.07,263.69,375.77,9470.41
INTC,-2.3,-8.2,6.4,22.8,15.4,76.2,12.8,-14.8,278.4,407.2,9687.6
INTU,-1.57,-6.83,8.51,25.67,18.81,81.03,18.07,-5.67,293.11,438.63,9904.79
ISRG,-0.84,-5.46,10.62,28.54,22.22,85.86,23.34,3.46,307.82,470.06,10121.98
KLAC,-0.11,-4.09,12.73,31.41,25.63,90.69,28.61,12.59,322.53,501.49,10339.17
LIN,0.62,-2.72,14.84,-7.72,29.04,-9.48,33.88,21.72,17.24,532.92,10556.36
LRCX,1.35,-1.35,16.95,-4.85,32.45,-4.65,39.15,30.85,31.95,564.35,10773.55
MAR,2.08,0.02,-12.94,-1.98,35.86,0.18,44.42,39.98,46.66,595.78,10990.74
MCHP,2.81,1.39,-10.83,0.89,39.27,5.01,49.69,49.11,61.37,627.21,11207.93
MDB,-3.46,2.76,-8.72,3.76,42.68,9.84,54.96,58.24,76.08,658.64,11425.12
META,-2.73,4.13,-6.61,6.63,46.09,14.67,60.23,67.37,90.79,690.07,11642.31
MRVL,-2.0,5.5,-4.5,9.5,49.5,19.5,65.5,76.5,105.5,721.5,11859.5
MSFT,-1.27,6.87,-2.39,12.37,52.91,24.33,70.77,85.63,120.21,752.93,12076.69
MU,-0.54,8.24,-0.28,15.24,-1.68,29.16,76.04,94.76,134.92,784.36,12293.88
